Energy (det),eff err,eff (-)
122.061,3.18E-01,6.14E-03
136.486,7.07E-01,6.23E-03
87.955,1.13E+00,4.62E-03
79.466,6.08E+00,3.70E-03
80.907,1.28E+00,3.65E-03
160.67,1.22E+01,6.05E-03
223.438,1.58E+01,4.88E-03
276.585,2.26E+00,3.97E-03
303.06,1.41E+00,3.52E-03
356.24,8.57E-01,2.98E-03
384.071,2.26E+00,2.69E-03
661.672,5.91E-01,1.71E-03
121.79,2.83E-01,5.85E-03
244.876,5.66E-01,4.20E-03
296.123,4.81E+00,3.33E-03
344.543,3.02E-01,3.00E-03
368.065,2.97E+00,2.85E-03
411.393,1.56E+00,2.40E-03
444.232,1.27E+00,2.51E-03
488.876,6.93E+00,2.00E-03
564.21,7.64E+00,1.82E-03
566.611,1.73E+01,2.13E-03
586.436,7.50E+00,1.76E-03
674.937,1.13E+01,1.68E-03
678.705,7.21E+00,1.47E-03
688.692,4.81E+00,1.45E-03
719.299,1.44E+01,1.51E-03
775.125,7.07E-01,1.30E-03
59.453,3.17E-01,1.14E-03
98.945,5.80E+00,5.59E-03
102.856,5.80E+00,5.55E-03
