122.061,-0.0004,0.015
136.486,0.0117,0.041
87.955,-0.085,0.062
661.672,0.015,0.045
121.774,-0.0077,0.015
244.849,0.1515,0.039
296.114,0.1748,0.343
344.5,0.2215,0.024
367.996,0.2073,0.225
411.353,0.2367,0.121
444.168,0.203,0.103
488.876,0.1968,0.566
564.21,0.22,0.670
566.611,0.181,2.601
586.436,0.1712,0.642
674.937,0.262,1.498
678.705,0.082,0.673
688.613,-0.057,0.429
719.299,-0.05,1.143
763.311,-1.589,1.585
775.125,-3.779,1.143
59.453,-0.0882,0.019
98.945,-0.025,0.459
102.856,-0.124,0.460
79.466,-0.1479,0.582
80.907,-0.0901,0.074
160.67,0.057,0.688
223.438,0.204,0.938
276.585,0.187,0.136
303.06,0.207,0.087
356.24,0.223,0.051
384.071,0.22,0.147
